project,desc,assigned to,reported by,category,priority
SJE Plus,software update,yogita,reception,Support,V.Urgent
SJE Plus,repair bag  print issue,Sajeda,reception,Report,high
Smart Jewel,diamond memo issue,sarika,reception,Report,high
SJE Plus,wip report print how to do,yogita,reception,Report,high
SJE Plus,making charge not accept in karigar receive issue in report,yogita,reception,Report,high
Smart Jewel,software close,yogita,reception,Support,V.Urgent
SJE Plus,report changes issue,Heta,reception,Report,high
SJE Plus,order wise report shorting issue and remark not show in pdf print ,Jagruti,reception,Report,high
SJE Plus,approval issue,drashti,reception,Support,high
SJE Plus,jewels report not convert in pdf ,vipul,reception,Support,high
SJE Plus,new weight and gross weight formula change issue,shubham,reception,Support,high
SJE Plus,software close,yogita,reception,Support,V.Urgent
SJE Plus,installation,Sajeda,reception,Support,V.Urgent
SJE Plus,diamond total issue,prakash,reception,Support,high
SJE Plus,invoice report amount issue in print,drashti,reception,Report,high
Smart Jewel,invoice details not show in print ,Heta,reception,Report,high
SJE Plus,quotation order issue in report ,drashti,reception,Report,high
SJE Plus,stock metal issue,sarika,reception,Support,high
Smart Jewel,diamond approval retune issue,sarika,reception,Support,high
SJE Plus,entry issue,krishna,reception,Support,V.Urgent
SJE Plus,cash entry delete issue,Heta,reception,Support,V.Urgent
SJE Plus,cover invoice hsn code issue,drashti,reception,Report,V.Urgent
SJE Plus,software close issue,yogita,reception,Support,V.Urgent
SJE Plus,file import issue,krishna,reception,Support,high
SJE Plus,bag tag code not show in bag generate,Sajeda,reception,Support,high
Smart Jewel,Packing List Data Not Coming,Heta,sarika,Report,V.Urgent
SJE Plus,transfer file report update issue,Jagruti,reception,Report,high
SJE Plus,style master image upload issue,Sajeda,reception,Support,high
SJE Plus,stock match with party issue,Sajeda,reception,Support,high
SJE Plus,software issue,yogita,reception,Support,V.Urgent
SJE Plus,image issue and style master change issue,sarika,reception,Support,high
SJE Plus,Stone purchase book cz tik,drashti,drashti,Support,high
SJE Plus,tag set issue,Jagruti,reception,Report,high
SJE Plus,software not start,drashti,reception,Support,V.Urgent
SJE Plus,entry issue,prakash,reception,Support,high
SJE Plus,wax setting entry traing,ashit,reception,Support,V.Urgent
SJE Plus,metal conversion entry issue ,sarika,reception,Support,high
SJE Plus,report changes,Heta,reception,Report,high
SJE Plus,sales return issue,shubham,reception,Support,high
SJE Plus,node installation,yogita,reception,Support,V.Urgent
Smart Jewel,report changes,Jagruti,reception,Report,high
SJE Plus,broken entry issue,sarika,reception,Support,high
SJE Plus,loss % issue,sarika,reception,Support,high
Smart Jewel,bill entry issue,sarika,reception,Support,high
SJE Plus,as per whats app query list,Sajeda,reception,Support,high
Smart Jewel,tag price not show in print,drashti,reception,Report,high
SJE Plus,memo inward issue ,krishna,reception,Support,high
SJE Plus,software close,yogita,reception,Support,V.Urgent
SJE Plus,login issue,Heta,reception,Support,V.Urgent
SJE Plus,bill party diamond extra add in print issue ,Heta,reception,Report,high
SJE Plus,slid show issue,Sajeda,reception,Support,high
SJE Plus,kundan meena entry issue,Sajeda,reception,Support,high
Smart Jewel,software crash ,yogita,reception,Support,V.Urgent
SJE Plus,diamond group remove issue and purchase return issue,Sajeda,reception,Support,high
SJE Plus,weight chart issue ,krishna,reception,Support,high
SJE Plus,bag print changes,Heta,reception,Report,high
SJE Plus,bag print order remark issue,drashti,reception,Report,V.Urgent
SJE Plus,installation,yogita,reception,Support,V.Urgent
SJE Plus,importer update and software update,krishna,reception,Support,high
Smart Jewel,software update ,yogita,reception,Support,high
SJE Plus,jewelry inward diamond group add issue,Sajeda,reception,Support,high
SJE Plus,memo process image not show,krishna,reception,Support,high
SJE Plus,tcs tax add and report issue,gaurav,reception,Report,high
SJE Plus,repair order issue,krishna,reception,Support,high
SJE Plus,bill format change in print issue,Jagruti,reception,Report,high
SJE Plus,software slow,Ritesh,reception,Support,high
SJE Plus,software log in issue,yogita,reception,Support,V.Urgent
SJE Plus,karigar name not change issue and master delete issue,sarika,reception,Support,high
Smart Jewel,item add issue,Sajeda,reception,Support,high
SJE Plus,bank details add in report,drashti,reception,Report,high
SJE Plus,bag print party code not show ,drashti,reception,Report,high
Smart Jewel,installation,krishna,reception,Support,high
SJE Plus,certificate tag details not show ,yogita,reception,Report,high
SJE Plus,order material report issue,Jagruti,reception,Report,high
SJE Plus,make a new sales inward and ask about material entry,sarika,reception,Support,high
SJE Plus,software update and installation and report changes  ,Jagruti,reception,Support,V.Urgent
SJE Plus,in purchase order order group want ,Sajeda,reception,Support,high
SJE Plus,Cara both branch Migration,sarika,sarika,New Req,V.Urgent
Smart Jewel,cara both branch cutoff,sarika,sarika,New Req,V.Urgent
SJE Plus, inward issue,Heta,reception,Report,high
SJE Plus,memo return entry level issue,krishna,reception,Support,high
SJE Plus,voucher bank entry how to show,jaytur,reception,Support,high
SJE Plus,report changes,drashti,reception,Report,high
Smart Jewel,design report issue,Krupa,reception,Report,high
Smart Jewel,design report handling issue,Jagruti,reception,Report,high
SJE Plus,customer lager issue,Sajeda,reception,Support,high
SJE Plus,installtion,yogita,yogita,Installation,med
SJE Plus,"tcs tax remove issue,image upload issue and inward issue and entry delete issue",yogita,reception,Support,high
SJE Plus,expense entry level issue,krishna,reception,Support,high
SJE Plus,general payment issue,krishna,reception,Support,high
SJE Plus,branch file inward issue,sarika,reception,Support,high
SJE Plus,journal voucher delete issue,Sajeda,reception,Support,high
SJE Plus,jewelry purchase report not open,Jagruti,reception,Report,high
SJE Plus,report file currpted,Heta,reception,Report,high
SJE Plus,bill bag entry how to do,Heta,reception,Report,high
SJE Plus,As Per Watsup By Ketansir\Riteshsir ,sarika,sarika,New Req,V.Urgent
Smart Jewel,labour amount problem,sarika,reception,Support,high
SJE Plus,out sours entry issue,krishna,reception,Support,high
Smart Jewel,stock- issue,Sajeda,reception,Support,high
SJE Plus,report not open,Jagruti,reception,Report,high
SJE Plus,tag set up issue,drashti,reception,Report,high
SJE Plus,gold rate update,yogita,reception,Support,high
SJE Plus,quotation report add issue,Heta,reception,Report,high
SJE Plus,software close,Jagruti,reception,Support,V.Urgent
SJE Plus,bag not generate in new order book,gaurav,reception,Support,high
SJE Plus,recovery entry issue,shubham,reception,Support,high
SJE Plus,tag changes and order form excel export issue,krishna,reception,Support,high
SJE Plus,party name change issue,Sajeda,reception,Support,high
SJE Plus,sales return issue,krishna,reception,Support,high
Smart Jewel,sale return repair issue,vipul,reception,Support,high
SJE Plus,sales invoice rate double issue,Heta,reception,Report,V.Urgent
Smart Jewel,diamond sew size issue,vipul,reception,Support,high
SJE Plus,diamond entry aliment issue,sarika,reception,Support,high
Smart Jewel,worker name not show in item receive issue,yogita,reception,Support,high
SJE Plus,software close,Jagruti,reception,Support,high
SJE Plus,bag movement issue,Sajeda,reception,Support,high
SJE Plus,location transfer verification cancel date issue,sarika,reception,Support,high
SJE Plus,bag print issue(As per whats app group),Heta,reception,Report,high
SJE Plus,opening balance issue,krishna,reception,Support,V.Urgent
SJE Plus,in tag size column add,Sajeda,reception,Report,high
SJE Plus,report changes,drashti,reception,Report,high
SJE Plus,tag issue,yogita,reception,Report,high
SJE Plus,excel sheet upload issue,Sajeda,reception,Support,high
SJE Plus,software update,yogita,reception,Support,high
SJE Plus,update script,Sajeda,reception,Support,high
SJE Plus,repair entry issue,Sajeda,reception,Support,high
Smart Jewel,tag print issue,Jagruti,reception,Report,high
SJE Plus,material transfer and bag movement memo no issue,Krupa,reception,Support,V.Urgent
SJE Plus,manufacturing report error,shubham,reception,Support,high
Smart Jewel,Tag issue,drashti,drashti,Tag,med
SJE Plus,style master account delete issue,krishna,reception,Support,high
SJE Plus,quotation details not show,Jagruti,reception,Report,high
SJE Plus,party sales return issue,sarika,reception,Support,V.Urgent
SJE Plus,setting receive issue,gaurav,reception,Support,high
SJE Plus,installation,yogita,reception,Support,high
SJE Plus,jewelry purchase other charges tax add invoice and material purchase column add ,drashti,reception,Report,high
SJE Plus,make new jewelry label ,yogita,reception,Report,high
Smart Jewel,tag print sat up,Jagruti,reception,Report,high
SJE Plus,manufacturer name change issue,krishna,reception,Support,high
SJE Plus,quotation image not show,Heta,reception,Report,high
SJE Plus,tag print issue,drashti,reception,Report,high
SJE Plus,bag generate duplicate no issue,krishna,reception,Support,high
SJE Plus,approval return issue,reception,reception,Support,high
SJE Plus,color stone quality report how to show,drashti,reception,Report,high
SJE Plus,order report print page sat up issue,drashti,reception,Report,high
Smart Jewel,estimate invoice color stone rate not show,Heta,reception,Support,high
SJE Plus,lager issue,Sajeda,reception,Support,high
SJE Plus,customer lager invoice issue,sarika,reception,Support,high
Smart Jewel,cotton add,yogita,reception,Support,high
SJE Plus,main master rate rage issue,Sajeda,reception,Support,high
SJE Plus,bag print issue,Heta,reception,Report,high
SJE Plus,quotation pending order issue,Sajeda,reception,Report,high
Smart Jewel,Itemsize Not show in quotation also issue in item code ,drashti,drashti,Support,high
SJE Plus,setting code group add in report,Heta,reception,Report,high
SJE Plus,packing list labor bill add issue,drashti,reception,Report,high
Smart Jewel,All New Report Create bag format add and diamond issue format,drashti,reception,Report,high
SJE Plus,net weight or Gross weight issue,krishna,reception,Support,high
SJE Plus,server installation,Heta,reception,Support,high
SJE Plus,in bill column remove and report not open,drashti,reception,Report,high
SJE Plus,image path set issue and back up path error,Jagruti,reception,Report,high
Smart Jewel,report not open,Jagruti,reception,Report,high
SJE Plus,print hang issue,drashti,reception,Report,high
Smart Jewel,916 add in bill,Jagruti,reception,Report,high
SJE Plus,book number continue (in sale and material book),sarika,reception,Support,high
Smart Jewel,purchase due amount issue,shubham,reception,Support,high
SJE Plus,user right issue,yogita,reception,Support,high
SJE Plus,server attach in laptop,krishna,reception,Support,high
SJE Plus,bag delete issue,yogita,reception,Support,high
SJE Plus,new order packing list report not convert in pdf ,Heta,reception,Report,high
SJE Plus,ask about printer ,gaurav,reception,Support,V.Urgent
Smart Jewel,image issue,Jagruti,reception,Support,high
SJE Plus,packing list attach issue,yogita,reception,Report,high
SJE Plus,purchase return issue,yogita,reception,Support,high
SJE Plus,software close,Heta,reception,Support,high
Smart Jewel,sale bill gst calculate isuse,Heta,reception,Report,high
Smart Jewel,daily transaction entry issue,krishna,reception,Support,V.Urgent
SJE Plus,diamond settlement issue,Sajeda,reception,Support,high
Smart Jewel,tag changes,drashti,reception,Report,high
SJE Plus,certificate details add issue,Sajeda,reception,Support,high
Smart Jewel,print preview issue,Jagruti,reception,Report,high
SJE Plus,manufacturing save error,Sajeda,reception,Support,high
SJE Plus,diamond details new report making,Jagruti,reception,Report,high
SJE Plus,job sheet issue,krishna,reception,Support,high
SJE Plus,bag print cut issue and rights issue,drashti,drashti,Report,V.Urgent
SJE Plus,style master stone weight issue,Jagruti,reception,Support,high
SJE Plus,style master report export set issue,drashti,reception,Support,high
SJE Plus,voucher report changes,Jagruti,reception,Support,high
SJE Plus,labour invoice issue(as per whats app group),kapil,reception,Report,high
Smart Jewel,confi. untik,drashti,drashti,Support,high
SJE Plus,sales report issue,Sajeda,reception,Support,high
Smart Jewel,software close,Jagruti,reception,Support,V.Urgent
Smart Jewel,on Flore bag split issue,vipul,reception,Support,V.Urgent
Smart Jewel,ANSH GEMS DIRECT REPAIR BATCH ISSUE,gaurav,gaurav,bug,high
SJE Plus,details add in bill,drashti,reception,Report,high
SJE Plus,jewelry stock report issue ,Sajeda,reception,Support,high
