project,desc,category,priority,assign to
SJE Plus,bill format change in print issue,Report,Low,Jagruti
SJE Plus,software log in issue,Support,V.Urgent,yogita
SJE Plus,karigar name not change issue and master delete issue,Support,high,sarika
Smart Jewel,item add issue,Support,high,Sajeda
SJE Plus,bank details add in report,Report,Low,drashti
SJE Plus,bag print party code not show ,Report,Low,drashti
Smart Jewel,installation,Support,high,krishna
SJE Plus,certificate tag details not show ,Report,Low,yogita
SJE Plus,order material report issue,Report,Low,Jagruti
SJE Plus,make a new sales inward and ask about material entry,Support,high,sarika
SJE Plus,software update and installation and report changes  ,Support,V.Urgent,Jagruti
SJE Plus,in purchase order order group want ,Support,high,Sajeda
SJE Plus,Cara both branch Migration,New Req,Med,sarika
Smart Jewel,cara both branch cutoff,New Req,Med,sarika
SJE Plus, inward issue,Report,Low,Heta
SJE Plus,memo return entry level issue,Support,high,krishna
SJE Plus,voucher bank entry how to show,Support,high,jaytur
SJE Plus,report changes,Report,Low,drashti
Smart Jewel,design report issue,Report,Low,Krupa
Smart Jewel,design report handling issue,Report,Low,Jagruti
SJE Plus,customer lager issue,Support,high,Sajeda
SJE Plus,installtion,Installation,med,yogita
SJE Plus,image upload issue and inward issue and entry delete issue,Support,high,yogita
SJE Plus,expense entry level issue,Support,high,krishna
SJE Plus,general payment issue,Support,high,krishna
SJE Plus,branch file inward issue,Support,high,sarika
SJE Plus,journal voucher delete issue,Support,high,Sajeda
SJE Plus,jewelry purchase report not open,Report,Low,Jagruti
SJE Plus,report file currpted,Report,Low,Heta
SJE Plus,bill bag entry how to do,Report,Low,Heta
SJE Plus,As Per Watsup By Ketansir\Riteshsir ,New Req,Med,sarika
Smart Jewel,labour amount problem,Support,high,sarika
SJE Plus,out sours entry issue,Support,high,krishna
Smart Jewel,stock- issue,Support,high,Sajeda
SJE Plus,report not open,Report,Low,Jagruti
SJE Plus,tag set up issue,Report,Low,drashti
SJE Plus,gold rate update,Support,high,yogita
SJE Plus,quotation report add issue,Report,Low,Heta
SJE Plus,software close,Support,V.Urgent,Jagruti
SJE Plus,bag not generate in new order book,Support,high,gaurav
SJE Plus,recovery entry issue,Support,high,shubham
SJE Plus,tag changes and order form excel export issue,Support,high,krishna
SJE Plus,party name change issue,Support,high,Sajeda
SJE Plus,sales return issue,Support,high,krishna
Smart Jewel,sale return repair issue,Support,high,vipul
SJE Plus,sales invoice rate double issue,Report,Low,Heta
Smart Jewel,diamond sew size issue,Support,high,vipul
SJE Plus,diamond entry aliment issue,Support,high,sarika
Smart Jewel,worker name not show in item receive issue,Support,high,yogita
SJE Plus,software close,Support,high,Jagruti
SJE Plus,bag movement issue,Support,high,Sajeda
SJE Plus,location transfer verification cancel date issue,Support,high,sarika
SJE Plus,bag print issue(As per whats app group),Report,Low,Heta
SJE Plus,opening balance issue,Support,V.Urgent,krishna
SJE Plus,in tag size column add,Report,Low,Sajeda
SJE Plus,report changes,Report,Low,drashti
SJE Plus,tag issue,Report,Low,yogita
SJE Plus,excel sheet upload issue,Support,high,Sajeda
SJE Plus,software update,Support,high,yogita
SJE Plus,update script,Support,high,Sajeda
SJE Plus,repair entry issue,Support,high,Sajeda
Smart Jewel,tag print issue,Report,Low,Jagruti
SJE Plus,material transfer and bag movement memo no issue,Support,V.Urgent,Krupa
SJE Plus,manufacturing report error,Support,high,shubham
Smart Jewel,Tag issue,Tag,med,drashti
SJE Plus,style master account delete issue,Support,high,krishna
SJE Plus,quotation details not show,Report,Low,Jagruti
SJE Plus,party sales return issue,Support,V.Urgent,sarika
SJE Plus,setting receive issue,Support,high,gaurav
SJE Plus,installation,Support,high,yogita
SJE Plus,jewelry purchase other charges tax add invoice and material purchase column add ,Report,Low,drashti
SJE Plus,make new jewelry label ,Report,Low,yogita
Smart Jewel,tag print sat up,Report,Low,Jagruti
SJE Plus,manufacturer name change issue,Support,high,krishna
SJE Plus,quotation image not show,Report,Low,Heta
SJE Plus,tag print issue,Report,Low,drashti
SJE Plus,bag generate duplicate no issue,Support,high,krishna
SJE Plus,color stone quality report how to show,Report,Low,drashti
SJE Plus,order report print page sat up issue,Report,Low,drashti
Smart Jewel,estimate invoice color stone rate not show,Support,high,Heta
SJE Plus,lager issue,Support,high,Sajeda
SJE Plus,customer lager invoice issue,Support,high,sarika
Smart Jewel,cotton add,Support,high,yogita
SJE Plus,main master rate rage issue,Support,high,Sajeda
SJE Plus,bag print issue,Report,Low,Heta
SJE Plus,quotation pending order issue,Report,Low,Sajeda
Smart Jewel,Itemsize Not show in quotation also issue in item code ,Support,high,drashti
SJE Plus,setting code group add in report,Report,Low,Heta
SJE Plus,packing list labor bill add issue,Report,Low,drashti
Smart Jewel,All New Report Create bag format add and diamond issue format,Report,Low,drashti
SJE Plus,net weight or Gross weight issue,Support,high,krishna
SJE Plus,server installation,Support,high,Heta
SJE Plus,in bill column remove and report not open,Report,Low,drashti
SJE Plus,image path set issue and back up path error,Report,Low,Jagruti
Smart Jewel,report not open,Report,Low,Jagruti
SJE Plus,print hang issue,Report,Low,drashti
Smart Jewel,916 add in bill,Report,Low,Jagruti
SJE Plus,book number continue (in sale and material book),Support,high,sarika
Smart Jewel,purchase due amount issue,Support,high,shubham
SJE Plus,user right issue,Support,high,yogita
SJE Plus,server attach in laptop,Support,high,krishna
SJE Plus,bag delete issue,Support,high,yogita
SJE Plus,new order packing list report not convert in pdf ,Report,Low,Heta
SJE Plus,ask about printer ,Support,V.Urgent,gaurav
Smart Jewel,image issue,Support,high,Jagruti
SJE Plus,packing list attach issue,Report,Low,yogita
SJE Plus,purchase return issue,Support,high,yogita
SJE Plus,software close,Support,high,Heta
Smart Jewel,sale bill gst calculate isuse,Report,Med,Heta
Smart Jewel,daily transaction entry issue,Support,V.Urgent,krishna
SJE Plus,diamond settlement issue,Support,high,Sajeda
Smart Jewel,tag changes,Report,Low,drashti
SJE Plus,certificate details add issue,Support,high,Sajeda
Smart Jewel,print preview issue,Report,Low,Jagruti
SJE Plus,manufacturing save error,Support,high,Sajeda
SJE Plus,diamond details new report making,Report,Low,Jagruti
SJE Plus,job sheet issue,Support,high,krishna
SJE Plus,bag print cut issue and rights issue,Report,Low,drashti
SJE Plus,style master stone weight issue,Support,high,Jagruti
SJE Plus,style master report export set issue,Support,high,drashti
SJE Plus,voucher report changes,Support,high,Jagruti
Smart Jewel,confi. untik,Support,high,drashti
SJE Plus,sales report issue,Support,high,Sajeda
Smart Jewel,software close,Support,V.Urgent,Jagruti
Smart Jewel,on Flore bag split issue,Support,V.Urgent,vipul
Smart Jewel,ANSH GEMS DIRECT REPAIR BATCH ISSUE,bug,high,gaurav
SJE Plus,details add in bill,Report,Low,drashti
SJE Plus,jewelry stock report issue ,Support,high,Sajeda
SJE Plus,memory issue in software,Support,V.Urgent,yogita
SJE Plus,opening entry delete issue,Support,high,gaurav
SJE Plus,bag delete issue,Support,high,yogita
SJE Plus,tcs update,Support,high,yogita
SJE Plus,casting entry level and cash bill issue,Support,high,krishna
SJE Plus,Gold sale book create and addless set also report add,Support,V.Urgent,drashti
Smart Jewel,production report issue,Support,high,krishna
SJE Plus,gold book create ,Support,high,shubham
SJE Plus,tree casting issue,Support,high,sarika
SJE Plus,stock diamond issue,Support,high,Sajeda
SJE Plus,order issue,Support,high,yogita
SJE Plus,labor issue,Support,high,sarika
SJE Plus,order quotation add,Report,Low,sarika
SJE Plus,software update,Support,high,yogita
SJE Plus,export value addition details issue,Report,Low,drashti
SJE Plus,bag fg weight issue,Report,Low,Heta
SJE Plus,broken diamond entry option issue,Support,high,krishna
SJE Plus,customer with lager issue,Support,high,sarika
SJE Plus,weight difference entry save issue,Support,high,sarika
SJE Plus,sale bill general voucher balance issue,Report,Low,yogita
Smart Jewel,karigar report issue,Report,Low,drashti
SJE Plus,item receive entry calculation issue,Support,high,shubham
SJE Plus,user log in issue,Support,V.Urgent,drashti
SJE Plus,api digit issue,Support,high,Sajeda
Smart Jewel,diamond requirement issue,Support,high,krishna
SJE Plus,installation,Support,high,yogita
SJE Plus,diff in both report As Per Mail,bug,V.Urgent,sarika
SJE Plus,software install in server pc,Support,V.Urgent,Jagruti
SJE Plus,ask about bag ,Support,high,yogita
Smart Jewel,lager amount issue,Support,high,krishna
SJE Plus,Mattel receive issue,Support,high,krishna
SJE Plus,diamond size issue,Support,high,Sajeda
SJE Plus,product merge making issue in print,Support,high,Heta
SJE Plus,pure gold entry issue,Support,high,sarika
SJE Plus,slid show issue and tag issue,Report,Low,Jagruti
SJE Plus,server pc software login issue,Support,high,drashti
SJE Plus,ad bill order format,Report,Low,Jagruti
SJE Plus,packing list add,Report,Low,Heta
SJE Plus,purchase rate issue,Support,high,Sajeda
SJE Plus,design report image not show,Report,Low,drashti
SJE Plus,metal issue and diamond size issue,Support,V.Urgent,shubham
SJE Plus,inward loss issue,Support,high,sarika
SJE Plus,as per whats app group query ,Support,high,Sajeda
SJE Plus,print prereview issue,Report,Low,yogita
SJE Plus,tag alignment changes,Support,high,krishna
SJE Plus,bag finalize gold weight 0 issue,Support,high,yogita
Smart Jewel,category add issue,Support,high,yogita
SJE Plus,sample line bag issue,Support,high,shubham
SJE Plus,carat line packing list not show,Report,Low,Heta
Smart Jewel,software update,Support,high,drashti
Smart Jewel,node installation,Support,high,yogita
SJE Plus,software requirement as par mail,Support,high,krishna
Smart Jewel,tag add issue in print,Report,Low,drashti
SJE Plus,date less then issue ,Support,high,yogita
SJE Plus,sale return invoice change,Report,Low,drashti
SJE Plus,sale return item delete issue and diamond sequence issue  ,Support,high,sarika
SJE Plus,style image report issue,Report,Low,Heta
SJE Plus,default sat,Support,high,Sajeda
SJE Plus,rate sat up,Support,high,sarika
Smart Jewel,in WIP report delivery date wrong ,Support,high,gaurav
SJE Plus,location transfer issue,Support,high,krishna
SJE Plus,currier  entry changes issue,Support,high,Sajeda
Smart Jewel,in tag price formula changes,Report,Low,Heta
SJE Plus,diamond amount round off ,Support,high,Sajeda
SJE Plus,tag print preview excel and pdf,Report,Low,Jagruti
SJE Plus,style master application not found and back hand entry issue,Support,high,Sajeda
SJE Plus,color stone not show in validation report ,Report,Low,drashti
SJE Plus,clients wise due report terms issue,Report,Low,Heta
SJE Plus,tag setting issue,Report,Low,drashti
Smart Jewel,stone add in style master ,Support,high,sarika
SJE Plus,quotation order bag generate print issue,Report,Low,Sajeda
SJE Plus,jewelry packing list making and report making,Report,Low,Jagruti
SJE Plus,jewel code issue,Support,high,vipul
Smart Jewel,validation column add issue,Support,V.Urgent,Sajeda
SJE Plus,ask about sales return  issue ,Support,V.Urgent,krishna
SJE Plus,repair tag diamond weight less issue,Support,high,Sajeda
SJE Plus,bag print issue,Support,high,Jagruti
SJE Plus,repair order report issue,Support,high,Sajeda
SJE Plus,cast bag not add issue and gold receive issue,Support,high,vipul
SJE Plus,book error,Support,high,sarika
Smart Jewel,ask about order issue,Support,high,krishna
SJE Plus,jewelry purchase column add issue,Support,high,sarika
Smart Jewel,e invoice issue,Report,Low,Jagruti
SJE Plus,back up issue,Support,V.Urgent,drashti
SJE Plus,raw material change issue,Support,high,shubham
SJE Plus,lager with stock weight issue,Support,V.Urgent,gaurav
SJE Plus,color stone issue ,Support,high,krishna
SJE Plus,in bill address print issue,Report,Low,Heta
SJE Plus,3 node installation,Support,high,yogita
SJE Plus,style update in same bag no issue,Support,high,shubham
SJE Plus,bag transection labor not count ,Support,high,gaurav
SJE Plus,software close,Support,high,Heta
SJE Plus,certificate charge add in bill in bill print,Report,Low,Heta
SJE Plus,log in issue,Support,V.Urgent,yogita
SJE Plus,CatLog item add issue  and cut off ,Support,high,krishna
Smart Jewel,purity add,Support,high,Heta
SJE Plus,metal purity issue and gross weight issue,Support,high,krishna
Smart Jewel,sample line quality open,Support,high,krishna
Smart Jewel,in bill gst calculate print issue,Report,Med,drashti
SJE Plus,color stone show issue,Support,high,yogita
Smart Jewel,software setup issue,Support,V.Urgent,yogita
SJE Plus,ded lock error issue,Support,V.Urgent,Jagruti
SJE Plus,gold api rate change issue,Support,high,krishna
Smart Jewel,quotation p-sheet cost rate issue,Report,Low,Heta
SJE Plus,net weight wrong show in entry ,Support,V.Urgent,Sajeda
Smart Jewel,lager with stock color design no not show,Support,high,sarika
Smart Jewel,quotation order how to convert n sales order,Support,high,Sajeda
Smart Jewel,layout changes and sales bill type default issue,Support,high,sarika
Smart Jewel,item code no client name how to search ,Report,Low,Heta
SJE Plus,purity change and clear out standing issue,Support,V.Urgent,shubham
Smart Jewel,image issue,Support,high,yogita
SJE Plus,gstr 3b report issue,Support,high,krishna
SJE Plus,bag generate design no. delete issue,Support,high,gaurav
SJE Plus,backup restore issue,Support,V.Urgent,yogita
Smart Jewel,item add in issue,Support,V.Urgent,vipul
Smart Jewel,date change issue,Support,high,Heta
SJE Plus,inward issue and certificate charge issue ,Support,high,Sajeda
SJE Plus,bar code add issue,Report,Low,drashti
Smart Jewel,software hang issue,Support,high,vipul
SJE Plus,diamond rate not show in tag ,Support,high,yogita
Smart Jewel,labor invoice column add in print issue,Report,Low,Heta
SJE Plus,other charges add,Support,high,Sajeda
SJE Plus,report problem,Report,Low,Jagruti
SJE Plus,repairing bag generate error,Support,high,vipul
SJE Plus,image problem,Support,high,yogita
SJE Plus,courier entry level issue,Support,high,shubham
SJE Plus,style master demo update issue,Support,high,sarika
SJE Plus,inward issue,Support,high,Sajeda
SJE Plus,invoice print issue,Report,Low,Sajeda
SJE Plus,node installation,Support,V.Urgent,Sajeda
SJE Plus,quotation report gold weight add issue,Support,high,Sajeda
Smart Jewel,software close,Support,V.Urgent,yogita
SJE Plus,packing list preview and image issue,Report,Low,Jagruti
Smart Jewel,software close,Support,high,sarika
SJE Plus,igi sheet error,Support,high,Sajeda
SJE Plus,bill payment receive issue,Support,high,sarika
SJE Plus,order no not show in report,Support,high,Sajeda
SJE Plus,Stock item search report is not showing in Images in Some Category Items,Support,high,Sajeda
